brand_name,parent_company_name,id,validated,brand_total_count,brand_frequency
(chinese product),unbranded,unbranded,true,8,2
(no input),unbranded,unbranded,true,21,2
(thailand product),unbranded,unbranded,true,2,2
**chuckie,nestlé,q160746,false,23,1
**unsure other type of material,**unsure other type of material,**unsure other type of material,false,84,1
**zest-o,zest-o corporation,q8069688,false,17,1
-,unbranded,unbranded,true,243684,24
07/11/2020,07/11/2020,07/11/2020,false,2,2
1 bread,1 bread,1 bread,false,1,1
1 no shantipuri jorda,mamun chemical workers,mamun chemical workers,false,1,1
1 oz lead weights removed from cast net,unbranded,unbranded,true,64,1
1 to 3,shri raja industries,shri raja industries,false,5,1
1 to 3 noodles,shri raja industries,shri raja industries,false,3,2
1-2 item from various brands,federation of migros cooperatives,q680727,false,31,1
1-2 item frrom various brands,coop,coop,false,18,1
"1-2 pieces from various brands,",nestlé,q160746,false,52,1
1.2.3,1.2.3,1.2.3,false,4,2
1/2 styrofoam car inner bumper,unbranded,unbranded,true,1,1
100 grand,nestle,nestle,false,1,1
100 piper,pernod ricard,q837049,false,23,1
100 plus,tanzania cigarette company,q22909263,false,53,15
100% ice cream,ind. e distrib. de sorvetes cem por cento ice cream,ind. e distrib. de sorvetes cem por cento ice cream,false,2,1
100% plombіr,100% plombіr,100% plombіr,false,8,1
100p,100p,100p,false,1,1
100plus,fraser and neave,q3086676,true,143,21
12 oz angry orchard bottle,boston beer company,q894558,false,1,1
12 oz bottles,unbranded,unbranded,true,3,1
12 oz brown beer bottles,unbranded,unbranded,true,17,1
12 oz dot 3 break fluid bottle,o reilly auto parts,o reilly auto parts,false,1,1
123 supermarket,123 supermarket,123 supermarket,false,2,1
13 oz fudge grams,clover valley dollar general,clover valley dollar general,false,1,1
15 oz coconut bar wrapper,abimar foods,abimar foods,false,1,1
150 f,150 f,150 f,false,2,1
150 f lighter,150 f lighter,150 f lighter,false,1,1
153,"batu karang, batu karang indonesia","batu karang, batu karang indonesia",false,2,2
153 lista kml kretek,batu karang,batu karang,false,2,1
16 oz bottles,unbranded,unbranded,true,12,1
16 oz glass bottle,unbranded,unbranded,true,4,1
16 oz yuengling can,boston beer company,q894558,false,1,1
1664å•¤é…’/kronenbourge 1664,kronenbourg,kronenbourg,false,5,1
1800 respado,1800 respado,1800 respado,false,1,1
1800 tequila,the beckmann family,the beckmann family,false,1,1
1965 plombir,limo,limo,false,5,1
1m1,1m1,1m1,false,16,1
1to3,shri raja enterprises,shri raja enterprises,false,1,1
1ç‚¹ç‚¹/yi diandian,yi diandian,yi diandian,false,1,1
2,berkshire hathaway,berkshire hathaway,false,2,1
2 jempol,cv anugerah internasional,cv anugerah internasional,false,2,1
2 kapak degerinde!,2 kapak degerinde!,2 kapak degerinde!,false,1,1
2 motor oil 20w50,seahorse lubricant industries ltd,seahorse lubricant industries ltd,false,1,1
2 pac swisher sweets packaging,swisher,q7658827,false,1,1
2% aqua,2% aqua,2% aqua,false,1,1
20 20,parle products,parle products,false,20,1
20 de junio,20 de junio,20 de junio,false,1,1
20 mars,"20 mars, rnta","20 mars, rnta",false,173,8
20 oz bottles,unbranded,unbranded,true,2,1
20 oz cup the seinyard restaurant,seinyard?,seinyard?,false,1,1
20-20 marino,marino food products,marino food products,false,2,1
2021-07-11 0:00:00,"2021-07-11 0:00:00, 7-11 convenience store, seven & i holdings co., seven and 1 holdings","2021-07-11 0:00:00, 7-11 convenience store, seven & i holdings co., seven and 1 holdings",false,5,4
2022-07-11 0:00:00,7/11 inc,7/11 inc,false,5,3
2022-07-11 0:00:00,seven & i holdings,seven & i holdings,false,1,1
207è½»é—¹é¸³é¸¯å¤¹å¿ƒé¥¼å¹²/qing nao,qing nao,qing nao,false,1,1
2080 powershield blue doublemint,aekyung,aekyung,false,1,1
23|7,23|7,23|7,false,1,1
24 hours,natura cosméticos s.a.,q3131210,false,7,1
28 hlebozavod,28 hlebozavod,28 hlebozavod,false,1,1
2crack,roshen,q2635017,false,1,1
2t nautico,ypf,ypf,false,2,1
2t sport,bellbry lubricants,bellbry lubricants,false,1,1
2trimo watermelon,unbranded,unbranded,true,1,1
3 bears,3 bears,3 bears,false,1,1
3 bit,mondelez international,q12857502,false,4,2
3 borrachas,3 borrachas,3 borrachas,false,6,2
3 cheese spaghetti sauce,ram,q7288425,false,2,1
3 happy days,3 happy days,3 happy days,false,2,1
3 horses,3 horses,3 horses,false,9,1
3 in 1 gulay,davao king snack inc,davao king snack inc,false,1,1
3 klucha,krasniy kluch ltd,krasniy kluch ltd,false,1,1
3 miá»n,uniben,uniben,false,11,1
3 musketeers,"mars, incorporated",q695087,false,17,9
3 pipas,3 pipas,3 pipas,false,1,1
3 shurupa,effes,effes,false,1,1
3#,hubei laogui bait co. ltd,hubei laogui bait co. ltd,false,1,1
3-in-one,wd-40 company limited,wd-40 company limited,false,1,1
3-stjernet,atria danmark a/s,atria danmark a/s,false,6,2
3-stjernet stjernehaps,atria danmark a/s,atria danmark a/s,false,3,1
3-way,johnson & johnson,q333718,false,1,1
3/4ths of a 6ft cast net,unbranded,unbranded,true,1,1
30 unscented candles,family dollar,q5433101,false,8,1
32 oz brown quart beer bottle,unbranded,unbranded,true,1,1
32 oz wax paper cup,wendy's,q550258,false,1,1
3250,3250,3250,false,720,1
33 export,société des brasseries du maroc,q2924068,false,1,1
360 (salted lemon juice),360 (salted lemon juice),360 (salted lemon juice),false,2,1
361,sudamericana de bebidas,sudamericana de bebidas,false,1,1
361éž‹å­/361â°,361â°,361â°,false,1,1
365 days,lenta ltd,lenta ltd,false,2,1
375 ml glass bottle,unbranded,unbranded,true,1,1
3d,perfetti van melle,perfetti van melle,false,1,1
3d buggles,3d buggles,3d buggles,false,1,1
3d gum,perfetti van melle,perfetti van melle,false,1,1
3m,3m,q159433,false,16,9
4,aldi,q125054,false,1,1
4 k's,"good times, usa","good times, usa",false,1,1
4 you,incom,incom,false,1,1
4-liss,unbranded,unbranded,true,1,1
405 plastics,405 plastics,405 plastics,false,1,1
40v,unbranded,unbranded,true,1,1
4700 bc,4700 bc,4700 bc,false,1,1
48 kopeek,nestlé,q160746,false,1,1
4bro,ethno iq gmbh,ethno iq gmbh,false,11,2
4k,4k,4k,false,88,1
4life,4life,4life,false,1,1
4move proffesional,unbranded,unbranded,true,1,1
5 alive,the coca-cola company,q3295867,false,116,11
5 fingers,unbranded,unbranded,true,1,1
