brand_name,parent_company_name,id,link,country,sum,validated
la doo waters nig,la doo,,,"Nigeria, Nigeria",28742,ATTEMPTED
cigarette butts,unbranded,,,"United States of America, Portugal, Australia, Australia, South Africa, United States of America, United States of America, United States of America, Philippines, Spain, Switzerland, Indonesia, Indonesia, Philippines, Philippines, France",14620,TRUE
cocacola,the coca-cola company,Q3295867,https://www.wikidata.org/wiki/Q3295867,"Morocco, South Korea, Slovenia, Slovenia, Slovenia, Slovenia, Slovenia, Slovenia, Slovenia, Tanzania, Tanzania, Tanzania, Tanzania, Nigeria, Nigeria, Japan, Japan, Japan, Japan, Japan, Japan, Mexico, Spain, Kenya, Vietnam, Portugal, Portugal, Portugal, Japan, Japan, Mexico, Spain, Spain, Nigeria, Ghana, Kenya, Denmark, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Australia, Kenya",11164,TRUE
pure water,"pure water, inc.",,,"Nigeria, Benin, Thailand, Benin, Mexico",10335,ATTEMPTED
coca cola,the coca-cola company,Q3295867,https://www.wikidata.org/wiki/Q3295867,"Italy, Italy, United States of America, Austria, Austria, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, United States of America, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Nigeria, United States of America, Philippines, Philippines, Czech Republic, Czech Republic, Czech Republic, Czech Republic, Greece, Spain, Spain, Thailand, Hong Kong, Hong Kong, Ecuador, Slovenia, Slovenia, Indonesia, Jamaica, Kenya, Croatia, Croatia, Mexico, Mexico, Nigeria, Nigeria, Nigeria, Hong Kong, Hong Kong, Nigeria, Rwanda, Latvia, Nigeria, Indonesia, Indonesia, Indonesia, Argentina, Argentina, Argentina, Argentina, Nigeria, Burkina Faso, Kenya, Nigeria, Montenegro, United States of America, Slovenia, Slovenia, Slovenia, Slovenia, Slovenia, Nigeria, Nigeria, Nigeria, Mexico, Mexico, Mexico, Mexico, Spain, Spain, Spain, Hong Kong, Hong Kong, Hong Kong, Hong Kong, Hong Kong, Hong Kong, Hong Kong, Hong Kong, Ukraine, Turkey, Indonesia, United States of America, Indonesia, Maldives, Maldives, Japan, Japan, Switzerland, Mexico, Netherlands, Argentina, Switzerland, Thailand, Thailand, Thailand, Thailand, Thailand, Tunisia, Italy, Tanzania, Tanzania, Tanzania, Italy, Italy, Mexico, Portugal, Cyprus, Tanzania, Nigeria, Tanzania, South Africa, South Africa, Kenya, China, China, China, China, China, China, China, China, Tunisia, Tunisia, Germany, Germany, Slovenia, Lithuania, Lithuania, Switzerland, Switzerland, Switzerland, Indonesia, Indonesia, Indonesia, Vietnam, Vietnam, Vietnam, Portugal, Thailand, Australia, United States of America, Mexico, Mexico, Mexico, Mexico, United States of America, United States of America, United States of America, Indonesia, Switzerland, Switzerland, Switzerland, Switzerland, Switzerland, Serbia, Serbia, Romania, Romania, Romania, Mexico, Mexico, Switzerland, United Kingdom of Great Britain & Northern Ireland, Ghana, United States of America, United States of America, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, United States of America, United States of America, United States of America, Honduras, Honduras, Honduras, Ghana, Tanzania, Tanzania, Tanzania, Egypt, Thailand, Thailand, Thailand, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Honduras, Honduras, Honduras, Chile, Chile, Chile, United States of America, United States of America, Tunisia, India, United States of America, Brazil, United States of America, India, United Kingdom of Great Britain & Northern Ireland, United Kingdom of Great Britain & Northern Ireland, France, France, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, United States of America, India, India, India, Ecuador, Ecuador, France, Thailand, Thailand, Thailand, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Thailand, Thailand, Thailand, Switzerland, Switzerland, Switzerland, Thailand, Thailand, Thailand, Indonesia, Switzerland, Switzerland, Indonesia, Thailand, Thailand, Thailand, United States of America, United States of America, Cyprus, Cyprus, Cyprus, Cyprus, Malaysia, Malaysia, Malaysia, Malaysia, Malaysia, Malaysia, Malaysia, Malaysia, Malaysia, Indonesia, India, Indonesia, Philippines, Philippines, Philippines, Philippines, Brazil, Brazil, India, Argentina, Argentina, Argentina, Argentina, India, Mexico, Mexico, Mexico, Nigeria, Brazil, Brazil, Kenya, Mexico, Australia, Australia, Switzerland, Switzerland, India, Kenya, Honduras, Honduras, Honduras, France, Turkey, Benin, Turkey, United States of America, United States of America",10320,TRUE
cigarettbuts,unbranded,,,Switzerland,9529,TRUE
coca-cola,the coca-cola company,Q3295867,https://www.wikidata.org/wiki/Q3295867,"Russian Federation, Hungary, Italy, Canada, United States of America, United States of America, United States of America, Australia, United States of America, Portugal, South Africa, Vietnam, South Korea, South Korea, Portugal, United States of America, United States of America, Australia, United States of America, United States of America, United Kingdom of Great Britain & Northern Ireland, United States of America, United States of America, United States of America, United States of America, United States of America, Cyprus, United States of America, Australia, Chile, Chile, Austria, Mexico, Canada, Ireland, United States of America, United States of America, Switzerland, Switzerland, Russian Federation, Maldives, Brazil, Brazil, Hong Kong, Hong Kong, Hong Kong, Philippines, Philippines, Philippines, Brazil, Brazil, Brazil, Brazil, Brazil, United States of America, Cameroon, Cameroon, Mexico, Hong Kong, Hong Kong, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Bulgaria, Switzerland, Tanzania, Ukraine, Tanzania, United States of America, Kuwait, Denmark, Denmark, Ukraine, Denmark, Ukraine, Burkina Faso, Italy, Nigeria, Ukraine, Ukraine, Ukraine, Singapore, Switzerland, Switzerland, Ukraine, Denmark, Denmark, Denmark, Denmark, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Tanzania, Tanzania, Latvia, Latvia, Tanzania, United Kingdom of Great Britain & Northern Ireland, France, France, United Kingdom of Great Britain & Northern Ireland, United Kingdom of Great Britain & Northern Ireland, Ukraine, Switzerland, Switzerland, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Brazil, Brazil, Bangladesh, Bangladesh, Korea, Ukraine, Ukraine, Ukraine, Australia, Australia, Australia, Nigeria, Ukraine, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Malaysia, Malaysia, Malaysia, Malaysia, Malaysia, Malaysia, Malaysia, Malaysia, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Indonesia, United States of America, Colombia, Colombia, Colombia, Colombia, Malaysia, South Africa, Australia, Australia, Australia, United States of America, United States of America, United States of America, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, United States of America, Germany, United States of America, Indonesia, United States of America, Nigeria, Uganda, Canada, Thailand, Thailand, Thailand, France, Brazil, Brazil, Brazil, Tanzania, Cyprus, Cyprus, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Denmark, Denmark, Denmark, Tanzania, Tanzania, Tanzania, Tanzania, Tanzania, Latvia, Latvia, Indonesia, Indonesia, Malaysia, Malaysia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Switzerland, Indonesia, Switzerland, Switzerland, Switzerland, Indonesia, Indonesia, Indonesia, Switzerland, Malaysia, Indonesia, Switzerland, Switzerland, Indonesia, Indonesia, Indonesia, Germany, Germany, Thailand, Thailand, Thailand, United States of America, Montenegro, Uganda, Philippines, India, Spain, Brazil, India, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Brazil, Brazil, Philippines, Philippines, Philippines, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, France, Lithuania, Lithuania, Ukraine, Ukraine, Ukraine, Ukraine, Ukraine, Spain, Philippines, Spain, Philippines, Zambia, Tunisia, Tunisia, United States of America, United States of America, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Brazil, Brazil, Brazil, France, Ghana, Tanzania, Brazil, Tanzania, Indonesia, Switzerland, Indonesia, Indonesia, Indonesia, New Zealand, Nigeria, Argentina, Argentina, Mexico, Mexico, Mexico, Mexico, Brazil, Brazil, Nigeria, Indonesia, Ghana, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Brazil, Australia, United States of America, United States of America, Russian Federation, Ghana, Brazil, Russian Federation, Russian Federation, Russian Federation, Russian Federation, Russian Federation, Russian Federation, Russian Federation, Russian Federation, Russian Federation, Russian Federation, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America",8031,TRUE
barna,barna,https://ng-check.com/barna-global-resources-ltd/2223093.html,,Nigeria,7205,ATTEMPTED
pepsi,pepsico,Q334800,https://www.wikidata.org/wiki/Q334800,"Russian Federation, Russian Federation, United States of America, Italy, Canada, Canada, Canada, United States of America, United States of America, Hong Kong, Hong Kong, United Kingdom of Great Britain & Northern Ireland, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, Austria, Austria, Morocco, Morocco, Morocco, Morocco, Canada, Mexico, Slovenia, Slovenia, Slovenia, Slovenia, Nigeria, United States of America, Philippines, Greece, Greece, Tanzania, Tanzania, United States of America, Tanzania, Tanzania, Tanzania, Malaysia, Hong Kong, Ecuador, Russian Federation, Jamaica, United States of America, Mexico, Hong Kong, Latvia, Latvia, Argentina, Argentina, Argentina, Nigeria, Nigeria, Nigeria, Nigeria, United States of America, Nigeria, Nigeria, Mexico, Mexico, Hong Kong, Hong Kong, Hong Kong, Hong Kong, Ukraine, Ukraine, Turkey, Mexico, United States of America, Spain, Tanzania, Italy, Italy, Cyprus, Tanzania, Nigeria, Philippines, Nigeria, Nigeria, Nigeria, China, China, China, United States of America, United States of America, Kuwait, Kuwait, Ukraine, Ukraine, Ukraine, Italy, Nigeria, Ukraine, Ukraine, Ukraine, Switzerland, Ukraine, Denmark, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Germany, Germany, Tanzania, Slovenia, Tanzania, Latvia, United Kingdom of Great Britain & Northern Ireland, United Kingdom of Great Britain & Northern Ireland, United Kingdom of Great Britain & Northern Ireland, United Kingdom of Great Britain & Northern Ireland, Ukraine, Thailand, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Lithuania, Switzerland, Bangladesh, Ukraine, Ukraine, Ukraine, United Kingdom of Great Britain & Northern Ireland, Australia, Australia, Korea, Ukraine, Indonesia, Indonesia, Malaysia, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Vietnam, Nigeria, Nigeria, Portugal, Nigeria, Nigeria, Portugal, Portugal, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Brazil, Thailand, Mexico, Tanzania, Philippines, Thailand, Mexico, Mexico, Mexico, Mexico, United States of America, United States of America, Romania, Romania, Switzerland, United States of America, United States of America, United States of America, United States of America, Mexico, Mexico, Mexico, Mexico, United States of America, United States of America, Uganda, Thailand, Thailand, Thailand, Thailand, Thailand, United Kingdom of Great Britain & Northern Ireland, United Kingdom of Great Britain & Northern Ireland, Egypt, Tanzania, Tanzania, Tanzania, Tanzania, Philippines, Philippines, Cyprus, Mexico, Honduras, Nigeria, Denmark, Tanzania, Tanzania, Tanzania, Tanzania, Tanzania, Tanzania, Tanzania, Egypt, Malaysia, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Germany, Georgia, Georgia, Georgia, Thailand, Thailand, Thailand, Honduras, Honduras, United States of America, United States of America, United States of America, United States of America, United States of America, Montenegro, Uganda, India, United States of America, Brazil, Bangladesh, Bangladesh, Philippines, Philippines, Philippines, Switzerland, United States of America, Philippines, France, Lithuania, Lithuania, Ukraine, Ukraine, Ukraine, Ukraine, Ukraine, Malaysia, India, Indonesia, United States of America, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Philippines, Philippines, France, Tanzania, Ecuador, Tanzania, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Switzerland, Switzerland, Switzerland, Georgia, Georgia, Georgia, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Nigeria, Nigeria, Nigeria, Nigeria, United States of America, United States of America, Cyprus, Cyprus, Cyprus, Cyprus, Nigeria, New Zealand, India, Nigeria, Nigeria, Philippines, Philippines, Philippines, India, Argentina, Argentina, Argentina, Argentina, Mexico, Mexico, Nigeria, Nigeria, Mexico, Nigeria, Nigeria, Nigeria, Nigeria, Bangladesh, Bangladesh, Bangladesh, Bangladesh, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Switzerland, India, Honduras, Honduras, United States of America, United States of America, United States of America, United States of America, Malaysia, Malaysia, Malaysia, Russian Federation, Russian Federation, Tanzania, Turkey, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Nigeria, Russian Federation, Russian Federation, Russian Federation, United States of America",7061,TRUE
"lipton,coke,fanta,sprit,limca,pipsi,minral water, apple juice,orange juice,oil jar,litchi,",other brand,,,"Bhutan, Bhutan",7000,TRUE
