"","file_name","submission_type","submission_id","year","name_of_lead","is_trained","organization","volunteer","start_of_audit","end_of_audit","time_spent","city","province","country","continent","type_of_audit","specifics_of_audit","total_count"
"1","NULL","Excel Template Old",1,2018,942,"NULL",195,"1","5/6/2018","5/6/2018","NULL","Fiumicino","Roma","Italy","Europe","Outdoor","Coast / Ocean / Estuary","129"
"2","NULL","Excel Template Old",2,2018,520,"NULL",334,"8","9/13/2018","9/13/2018","NULL","Lowell","MA","United States of America","North America","Outdoor","School / Office / Institution","16"
"3","NULL","Excel Template Old",3,2018,258,"NULL",224,"16","8/18/2018","8/19/2018","NULL","Saint Petersburg","NULL","Russian Federation","Europe","Outdoor","Coast / Ocean / Estuary","294"
"4","NULL","Excel Template Old",4,2018,1034,"NULL",163,"18","9/11/2018","9/11/2018","NULL","Colorado Springs","NULL","United States of America","North America","Outdoor","City / Park / Other Land","115"
"5","NULL","Excel Template Old",5,2018,715,"NULL",333,"7","9/7/2018","9/24/2018","NULL","Dartmouth","MA","United States of America","North America","Outdoor","City / Park / Other Land","39"
"6","NULL","Excel Template Old",6,2018,827,"NULL",504,"8","9/15/2018","9/15/2018","NULL","San Francisco","CA","United States of America","North America","Outdoor","Coast / Ocean / Estuary","106"
"7","NULL","Excel Template Old",7,2018,745,"NULL",332,"6","9/14/2018","9/14/2018","NULL","Boston","MA","United States of America","North America","Outdoor","School / Office / Institution","8"
"8","NULL","Excel Template Old",8,2018,288,"NULL",234,"13","9/9/2018","9/9/2018","NULL","Coney Island","NULL","United States of America","North America","Outdoor","Coast / Ocean / Estuary","393"
"9","NULL","Excel Template Old",9,2018,99,"NULL",534,"15","9/15/2018","9/15/2018","NULL","Kennebunk","ME","United States of America","North America","Outdoor","Coast / Ocean / Estuary","34"
"10","NULL","Excel Template Old",10,2018,373,"NULL",206,"9","8/11/2018","8/10/2018","NULL","Tiszaadony","NULL","Hungary","Europe","Outdoor","Shoreline / River / Lake","332"
"11","NULL","Excel Template Old",11,2018,641,"NULL",195,"1","5/13/2018","5/13/2018","NULL","Foce Delle Saline","Montesilvano (Pe)","Italy","Europe","Outdoor","Coast / Ocean / Estuary","318"
"12","NULL","Excel Template Old",12,2018,124,"NULL",195,"1","5/19/2018","5/19/2018","NULL","Spiaggia Pane E Pomodoro (Bari)","NULL","Italy","Europe","Outdoor","Coast / Ocean / Estuary","274"
"13","NULL","Excel Template Old",13,2018,358,"NULL",195,"1","5/25/2018","5/25/2018","NULL","Pozzuoli","NULL","Italy","Europe","Outdoor","Coast / Ocean / Estuary","11"
"14","NULL","Excel Template Old",14,2018,671,"NULL",195,"1","5/5/2018","5/5/2018","NULL","Arenella (Palermo)","NULL","Italy","Europe","Outdoor","Coast / Ocean / Estuary","46"
"15","NULL","Excel Template Old",15,2018,596,"NULL",195,"4","5/20/2018","5/20/2018","NULL","Santa Croce Mare (Trieste)","NULL","Italy","Europe","Outdoor","Coast / Ocean / Estuary","46"
"16","NULL","Excel Template Old",16,2018,349,"NULL",195,"1","5/27/2018","5/27/2018","NULL","Foce Del Brenta","Sottomarina ( Chioggia)","Italy","Europe","Outdoor","Coast / Ocean / Estuary","110"
"17","NULL","Excel Template Old",17,2018,669,"NULL",195,"1","5/5/2018","5/5/2018","NULL","Baratti","NULL","Italy","Europe","Outdoor","Coast / Ocean / Estuary","66"
"18","NULL","Excel Template Old",18,2018,299,"NULL",205,"2","7/29/2018","7/29/2018","NULL","Tarej","Island Of Cres","Croatia","Europe","Outdoor","Coast / Ocean / Estuary","194"
"19","NULL","Excel Template Old",19,2018,374,"NULL",468,"1","7/22/2018","7/22/2018","NULL","Ramlet El Bayda","Beirut","Lebanon","Asia","Outdoor","City / Park / Other Land","172"
"20","NULL","Excel Template Old",20,2018,396,"NULL",204,"13","9/15/2018","9/15/2018","NULL","Halifax","NS","Canada","North America","Outdoor","Coast / Ocean / Estuary","346"
"21","NULL","Excel Template Old",21,2018,396,"NULL",203,"14","9/16/2018","9/16/2018","NULL","Montreal","QC","Canada","North America","Outdoor","Shoreline / River / Lake","383"
"22","NULL","Excel Template Old",22,2018,396,"NULL",203,"25","9/15/2018","9/15/2018","NULL","Toronto","ON","Canada","North America","Outdoor","City / Park / Other Land","638"
"23","NULL","Excel Template Old",23,2018,396,"NULL",203,"5","9/15/2018","9/15/2018","NULL","Vancouver","BC","Canada","North America","Outdoor","Coast / Ocean / Estuary","592"
"24","NULL","Excel Template Old",24,2018,617,"NULL",506,"1","9/15/2018","9/15/2018","NULL","Pacific Rim National Park","BC","Canada","North America","Outdoor","Coast / Ocean / Estuary","14"
"25","NULL","Excel Template Old",25,2018,948,"NULL",497,"4","9/16/2018","NULL","NULL","Washington","D.C.","United States of America","North America","Outdoor","City / Park / Other Land","428"
"26","NULL","Excel Template Old",26,2018,948,"NULL",497,"6","9/15/2018","NULL","NULL","Washington","D.C.","United States of America","North America","Outdoor","City / Park / Other Land","619"
"27","NULL","Excel Template Old",27,2018,948,"NULL",497,"3","9/16/2018","NULL","NULL","Christenstead","St. Croix","United States of America","North America","Outdoor","Coast / Ocean / Estuary","175"
"28","NULL","Excel Template Old",28,2018,948,"NULL",497,"1","9/16/2018","NULL","NULL","Ashland","OR","United States of America","North America","Outdoor","Coast / Ocean / Estuary","87"
"29","NULL","Excel Template Old",29,2018,948,"NULL",497,"10","9/13/2018","NULL","NULL","Washington","D.C.","United States of America","North America","Outdoor","City / Park / Other Land","437"
"30","NULL","Excel Template Old",30,2018,948,"NULL",497,"4","9/15/2018","NULL","NULL","Long Beach","CA","United States of America","North America","Outdoor","Coast / Ocean / Estuary","87"
"31","NULL","Excel Template Old",31,2018,948,"NULL",497,"7","9/15/2018","NULL","NULL","Melbourne","NULL","Australia","Oceania / Australia","Outdoor","Coast / Ocean / Estuary","7945"
"32","NULL","Excel Template Old",32,2018,948,"NULL",497,"12","9/15/2018","NULL","NULL","San Ramon","CA","United States of America","North America","Outdoor","Coast / Ocean / Estuary","298"
"33","NULL","Excel Template Old",33,2018,948,"NULL",497,"3","9/15/2018","NULL","NULL","Foz Do Arelho","NULL","Portugal","Europe","Outdoor","Coast / Ocean / Estuary","5260"
"34","NULL","Excel Template Old",34,2018,948,"NULL",497,"1","9/10/2018","NULL","NULL","Brooklyn","NY","United States of America","North America","Outdoor","City / Park / Other Land","124"
"35","NULL","Excel Template Old",35,2018,948,"NULL",497,"8","9/11/2018","NULL","NULL","Blouberg","NULL","South Africa","Africa","Outdoor","Coast / Ocean / Estuary","366"
