Column,brand_name,name,new_name,id,sum
1,-,-,unbranded,,446
2,        ,        ,,,1
3,          ,          ,,,3
4,          -    ,          -    ,-,,3
5,            ,            ,,,6
6,              ,              ,,,4
7,               ,               ,,,1
8,                ,                ,,,7
9,                  ,                  ,,,1
10,                     ,                     ,,,4
11,                      ,                      ,,,1
12,                       ,                       ,,,1
13,                        ,                        ,,,2
14,                         ,                         ,,,1
15,                              ,                              ,,,1
16,                                    ,                                    ,,,1
17,                                                                     (chexhen mineral water),                                                                     (chexhen mineral water),(chexhen mineral water),,1
18,"                                         (                         "")""","                                         (                         "")""","(                         "")""",,1
19,                                (x5 retail group),X5 Retail Group,x5 retail group,Q258748,1
20,                            (      -      ),                            (      -      ),(      -      ),,1
21,                        (                ),                        (                ),(                ),,1
22,                       (heineken,Heineken,heineken,Q180855,1
23,                     (coca cola),The Coca-Cola Company,the coca-cola company,Q3295867,1
24,                    (                                         ),                    (                                         ),(                                         ),,1
25,"                   """"","                   """"","""""",,1
26,                 (                       ),                 (                       ),(                       ),,1
27,"                (                                                           )""","                (                                                           )""","(                                                           )""",,1
28,                (                             ),                (                             ),(                             ),,1
29,                (                            ),                (                            ),(                            ),,1
30,                (                           ),                (                           ),(                           ),,1
31,               22               ,               22               ,22,,1
32,               7,               7,7,,1
33,          (                ),          (                ),(                ),,1
34,          (            ),          (            ),(            ),,1
35,          (           vita),          (           vita),(           vita),,1
36,          (coca-cola),The Coca-Cola Company,the coca-cola company,Q3295867,1
37,         team,         team,team,,1
38,(no input),(no input),(no input),,21
39,**chuckie,Nestlé,nestlé,Q160746,23
40,**unsure other type of material,**unsure other type of material,**unsure other type of material,,84
41,**zest-o,Zest-O Corporation,zest-o corporation,Q8069688,17
42,1-2 item from various brands,Federation of Migros Cooperatives,federation of migros cooperatives,Q680727,31
43,1-2 item frrom various brands,Coop,coop,,18
44,"1-2 pieces from various brands,",Nestlé,nestlé,Q160746,52
45,1 bread,1 bread,1 bread,,1
46,1 no shantipuri jorda,Mamun Chemical Workers,mamun chemical workers,,1
47,1 to 3,Shri Raja Industries,shri raja industries,,5
48,1 to 3 noodles,Shri Raja Industries,shri raja industries,,3
49,1.2.3,1.2.3,1.2.3,,4
50,100 piper,Pernod Ricard,pernod ricard,Q837049,23
51,100 plus,F&N Beverage,f&n beverage,,7
52,100 plus,Frase & Neave Holdings,fraser & neave holdings,,4
53,100 plus,Tanzania Cigarette Company,tanzania cigarette company,Q22909263,13
54,100% ice cream,Ind. E Distrib. De Sorvetes Cem Por Cento Ice Cream,ind. e distrib. de sorvetes cem por cento ice cream,,2
55,100% plombіr,100% plombіr,100% plombіr,,8
56,100p,100P,100p,,1
57,100plus,Fraser & Neave Holdings,fraser & neave holdings,,57
58,100plus,Fraser & Neave Sdn Bhd,fraser & neave sdn bhd,,22
59,100plus,Fraser And Neave Limited,fraser and neave,,16
60,100plus,Tanzania Cigarette Company,tanzania cigarette company,Q22909263,21
61,12 oz angry orchard bottle,Boston Beer Company,boston beer company,Q894558,1
62,12 oz dot 3 break fluid bottle,O Reilly Auto Parts,o reilly auto parts,,1
63,13 oz fudge grams,Clover Valley Dollar General,clover valley dollar general,,1
64,15 oz coconut bar wrapper,Abimar Foods,abimar foods,,1
65,150 f,150 f,150 f,,2
66,150 f lighter,150 f lighter,150 f lighter,,1
67,153,Batu Karang,batu karang,,1
68,153,Batu Karang Indonesia,batu karang indonesia,,1
69,153 lista kml kretek,Batu Karang,batu karang,,2
70,16 oz yuengling can,Boston Beer Company,boston beer company,Q894558,1
71,1664å•¤é…’/kronenbourge 1664,Kronenbourge 1664,kronenbourg,,5
72,1800 respado,1800 respado,1800 respado,,1
73,1800 tequila,The Beckmann Family,the beckmann family,,1
74,1965 plombir,Limo,limo,,5
75,1ç‚¹ç‚¹/yi diandian,Yi Diandian,yi diandian,,1
76,1m1,1m1,1m1,,16
77,1to3,Shri Raja Enterprises,shri raja enterprises,,1
78,2 jempol,CV Anugerah Internasional,cv anugerah internasional,,2
79,2 kapak degerinde!,2 Kapak Degerinde!,2 kapak degerinde!,,1
80,2 motor oil 20w50,Seahorse Lubricant Industries Ltd,seahorse lubricant industries ltd,,1
81,2 pac swisher sweets packaging,Swisher,swisher,Q7658827,1
82,2% aqua,2% aqua,2% aqua,,1
83,20-20 marino,Marino Food Products,marino food products,,2
84,20 mars,20 mars,20 mars,,59
85,20 mars,RNTA,rnta,,33
86,20 oz cup the seinyard restaurant,Seinyard?,seinyard?,,1
