city,province,country,continent,latitude_specific,longitude_specific,latitude_country,longitude_country,latitude_state,longitude_state
gboko,"",nigeria,africa,7.3179,8.9951,9.6000359,7.9999721,9.6000359,7.9999721
adikpo,"",nigeria,africa,6.887886,9.235472,9.6000359,7.9999721,9.6000359,7.9999721
washington,d.c.,united states of america,north america,38.8950368,-77.0365427,39.7837304,-100.445882,38.89384735,-76.9880428191095
foz do arelho,"",portugal,europe,39.4329582,-9.2173901,39.6621648,-8.1353519,39.6621648,-8.1353519
wollongong,"",australia,oceania / australia,-34.4278083,150.893054,-24.7761086,134.755,-24.7761086,134.755
allendale,mi,united states of america,north america,42.9722455,-85.9536535,39.7837304,-100.445882,43.6211955,-84.6824346
melbourne,"",australia,oceania / australia,-37.8142176,144.9631608,-24.7761086,134.755,-24.7761086,134.755
austin,tx,united states of america,north america,30.2711286,-97.7436995,39.7837304,-100.445882,31.2638905,-98.5456116
vancouver,wa,united states of america,north america,45.6306954,-122.6744557,39.7837304,-100.445882,47.2868352,-120.212613
cape town,"",south africa,africa,-33.928992,18.417396,-28.8166236,24.991639,-28.8166236,24.991639
hot springs,sd,united states of america,north america,43.431646,-103.474363,39.7837304,-100.445882,44.6471761,-100.348761
driggs,id,united states of america,north america,43.7231753,-111.110887,39.7837304,-100.445882,43.6447642,-114.015407
lee's summit,mo,united states of america,north america,38.9107156,-94.3821295,39.7837304,-100.445882,38.7604815,-92.5617875
brooklyn,"",united states of america,north america,40.6526006,-73.9497211,39.7837304,-100.445882,39.7837304,-100.445882
wakulla county florida,"",united states of america,north america,,,39.7837304,-100.445882,39.7837304,-100.445882
tacloban city,region viii,philippines,asia,11.2430274,125.0081402,12.7503486,122.7312101,,
solothurn,solothurn,switzerland,europe,47.2081355,7.5384045,46.7985624,8.2319736,47.31874,7.6698284
north lombok,west nusa tenggara,indonesia,asia,,,-2.4833826,117.8902853,-8.7892855,117.146169
temerloh,"",indonesia,asia,,,-2.4833826,117.8902853,-2.4833826,117.8902853
dumaguete,negros oriental,philippines,asia,9.3054777,123.3080446,12.7503486,122.7312101,9.75,123
orlã©ans,centre val de loire,france,europe,,,46.603354,1.8883335,47.5490251,1.7324062
badung,bali,indonesia,asia,,,-2.4833826,117.8902853,-8.3304977,115.0906401
fiumicino,roma,italy,europe,41.7712145,12.2278855,42.6384261,12.674297,,
tanjier,"",morocco,africa,,,31.1728205,-7.3362482,31.1728205,-7.3362482
pulo nasi,aceh island,indonesia,asia,,,-2.4833826,117.8902853,,
seoul,"",south korea,asia,37.5666791,126.9782914,36.638392,127.6961188,36.638392,127.6961188
hong kong,"",hong kong,asia,,,,,,
ljubljana,rudnik,slovenia,europe,,,46.1199444,14.8153333,,
ljubljana,ã„å’rnuã„âe,slovenia,europe,,,46.1199444,14.8153333,,
studenice,poljã„âane,slovenia,europe,,,46.1199444,14.8153333,,
poljã„âane,"",slovenia,europe,,,46.1199444,14.8153333,46.1199444,14.8153333
ptuj,"",slovenia,europe,46.4198096,15.8717378,46.1199444,14.8153333,46.1199444,14.8153333
dar es salaam,ferry beach,tanzania,africa,,,-6.5247123,35.7878438,,
dar es salaam,kijiji,tanzania,africa,,,-6.5247123,35.7878438,,
dar es salaam,mikadii,tanzania,africa,,,-6.5247123,35.7878438,,
