Material_TT,Item_TT,source,class,weigth_estimate_g
plastic,bag(grocery),Ocean Conservancy,Plastic Grocery Bags,6.46
paper,"bag(zip-lock,produce,other)",Ocean Conservancy,Plastic Bags (All Types),8.52
plastic,"bag(zip-lock,produce,other)",Ocean Conservancy,Plastic Bags (All Types),8.52
paper,bags,Ocean Conservancy,Paper Bags,25.39
plastic,bags,Ocean Conservancy,Plastic Bags (All Types),8.52
rubber,balloons,https://kenniswijzerzwerfafval.nl/,Not to be specified,82.5
rubber,balls,https://kenniswijzerzwerfafval.nl/,Not to be specified,82.5
plastic,balls,https://kenniswijzerzwerfafval.nl/,Not to be specified,82.5
plastic,bandages,https://kenniswijzerzwerfafval.nl/,Not to be specified,82.5
cloth,bandages,https://kenniswijzerzwerfafval.nl/,Not to be specified,82.5
metal,"bar,pipe,orwire",https://kenniswijzerzwerfafval.nl/,Metal,29.2
plastic,"bar,pipe,orwire",https://kenniswijzerzwerfafval.nl/,Plastic,20
metal,batteries,https://kenniswijzerzwerfafval.nl/,Not to be specified,82.5
plastic,beveragebottles,Ocean Conservancy,Plastic Beverage Bottles,22.97
metal,beveragecan,Ocean Conservancy,Beverage Cans,16.94
paper,beveragecontainers,https://kenniswijzerzwerfafval.nl/,Drink cartons,22.3
plastic,beveragecontainers,https://kenniswijzerzwerfafval.nl/,Drink cartons,22.3
metal,"bolts,nails,andscrews",https://kenniswijzerzwerfafval.nl/,Not to be specified,82.5
plastic,"bolts,nails,andscrews",https://kenniswijzerzwerfafval.nl/,Not to be specified,82.5
foam,"bolts,nails,andscrews",https://kenniswijzerzwerfafval.nl/,Not to be specified,82.5
paper,books,https://kenniswijzerzwerfafval.nl/,newspapers,100
plastic,bottlecaps,Ocean Conservancy,Caps,1.9
metal,bottlecaps,Ocean Conservancy,Caps,1.9
glass,bottlecaps,Ocean Conservancy,Caps,1.9
plastic,"bottlecaps,lids&pulltabs",Ocean Conservancy,Caps,1.9
plastic,bottles&jars,"Ballatore, 2023",plastic bottle ,29.8
glass,bottles&jars,https://kenniswijzerzwerfafval.nl/,Glass bottle,300
other,bottles&jars,https://kenniswijzerzwerfafval.nl/,Not to be specified,82.5
metal,cans,"Ballatore, 2032",metal can,15.05
paper/cardboard,cardboard,"Ballatore, 2032",metal can,15.05
paper,cardboard,"Ballatore, 2032",metal can,15.05
paper/cardboard,cardboardcartons,https://kenniswijzerzwerfafval.nl/,Drink cartons,22.3
metal,carparts,https://kenniswijzerzwerfafval.nl/,Not to be specified,82.5
plastic,carparts,https://kenniswijzerzwerfafval.nl/,Not to be specified,82.5
plastic,"cd,cd-box",https://kenniswijzerzwerfafval.nl/,Not to be specified,82.5
plastic,cigarettebutts,Ocean Conservancy,Cigarette Butts,0.29
plastic,cigarettefilters,Ocean Conservancy,Cigarette Butts,0.29
organic,cigarettefilters,Ocean Conservancy,Cigarette Butts,0.29
plastic,cigarettelighters,https://kenniswijzerzwerfafval.nl/,Not to be specified,82.5
paper,cigarettepackets,https://kenniswijzerzwerfafval.nl/,tobacco packaging,10.4
plastic,cigarettepackets,https://kenniswijzerzwerfafval.nl/,tobacco packaging,10.4
plastic,cigarettes/cigartips,Ocean Conservancy,Cigarette Butts,0.29
paper,cigarettes/cigartips,Ocean Conservancy,Cigarette Butts,0.29
organic,cigarettes/cigartips,Ocean Conservancy,Cigarette Butts,0.29
plastic,cigartips,Ocean Conservancy,Cigarette Butts,0.29
cloth,clothfragments,Ocean Conservancy,Clothing & Shoes,82.5
cloth,clothing,Ocean Conservancy,Clothing & Shoes,82.5
