parent_company_name,id,mean
the coca-cola company,q3295867,0.110643273307413
pepsico,q334800,0.0483652420428919
nestlé,q160746,0.0300637603505764
danone,q329426,0.0289021438919122
altria,q445007,0.023457668048055
bakhresa group,q27961785,0.0215323490326563
wings,q12524596,0.018017203051287
unilever,q157062,0.0152810180139802
mayora indah,q12497654,0.013317714380402
mondelez international,q12857502,0.0124890074762802
"mars, incorporated",q695087,0.0111849746673268
salim group,q905963,0.0108049342942775
british american tobacco,q856411,0.010115537142954
metl group,q116505517,0.00901604827664674
mcdonald’s,q38076,0.00893823446792902
procter & gamble,q212405,0.00609371677414935
other brand,other brand,0.00587611032598895
the hershey company,q1056637,0.00570062018478377
anheuser-busch inbev,q128738,0.00535596708461203
perfetti van melle,q612524,0.00514337419150935
starbucks,q37158,0.00462283792720894
ferrero spa,q269792,0.00447461877990523
japan tobacco,q898568,0.00429454113887507
orang tua,https://www.ot.id/about-ot,0.0042478754383451
gudang garam,q1553005,0.00415583712285443
cactus marketing sdn bhd,https://cactusmarketing.com.my/,0.00399874675775756
jab holding company,q1691896,0.00390143848309935
jg summit holdings,q6108205,0.0036862178755167
"plastic bags, plastic bags","plastic bags, plastic bags",0.00331222903950485
colgate-palmolive company,q609466,0.00310446087660257
suntory,q1345267,0.00308483224049572
imperial brands,q1471161,0.00304005330449337
rauch,q613669,0.00296680752118304
asahi group holdings,q11283168,0.00294025034971674
walmart,q483551,0.00290621588292543
berkshire hathaway,q217583,0.00275481114775591
rayyan mineral water company,http://www.rayyanwater.com/en/about-us.html,0.00271043516842183
murzah group of companies,https://www.facebook.com/profile.php?id=100054350899495&sk=about,0.00264241483628269
holmarcom group,q3139309,0.00242723056484208
kellogg's,q856897,0.00239530965870135
yakult honsha,q16172223,0.00231039512984074
heineken,q180855,0.00225373704072698
costco,q715583,0.00221610686697351
haribo,q169552,0.00220054780439605
general mills,q629998,0.00218667688801136
seven & i holdings co.,q639447,0.00212101555030185
nabati group,q19727082,0.00208526201712698
fraser and neave,q3086676,0.00195774883141784
siantar top,q12514216,0.00195112829727711
blow group of companies,q116505566,0.00191499175354949
grupo bimbo,q775031,0.00188195627349608
tanzania cigarette company,q22909263,0.00187611887534197
thaibev,q15304350,0.00186646417514997
tanzania distillers ltd,https://www.dnb.com/business-directory/company-profiles.tanzania_distilleries_limited.d9fec2c3500d39dbe8c939eb382d25fd.html,0.0018077815624071
otsuka holdings,q5216177,0.00175840804538487
mega bevarage co ltd,https://www.megabeverages.net/age/,0.00172767875483824
eljay group of businesses,https://www.eljaygroup.com/ufresh_fruit_drink_sachet_80ml_x_60/p4936976_21536199.aspx,0.00172686667222917
kao corporation,q902855,0.00165089515059359
wadia group,q7959272,0.00159687838131408
carlsberg group,q113215,0.0015535581571397
"cv dharma sumber tirta, cv dharma sumber tirta, kelimutu","cv dharma sumber tirta, cv dharma sumber tirta, kelimutu",0.00154971592251918
oilcom group,http://oilcomgroup.co.tz/,0.00154942092373365
société bic,q795981,0.00152146429544198
kroger,q153417,0.00149554455025366
garudafood putra putri jaya,q96100268,0.00148987449209853
bluetriton brands,q16242798,0.00148124670903078
akij,q4700954,0.001479236945032
federation of migros cooperatives,q680727,0.0014728148311038
tudung group,https://www.linkedin.com/company/tudung-group-holding-co-of-garudafood-group-and-sns-group-/,0.00147167850459277
farry brand,farry brand,0.00147003386791809
restaurant brands international,q18619470,0.00146266479980776
orang tua group,https://www.indonesiathaitrade.com/product/10446-11741/orang-tua-group,0.00144863732412869
ajinomoto,q412826,0.00144396224033459
the coca-cola company,the coca-cola company,0.00141214085158935
schwarz gruppe,q712034,0.00140902859512422
woolworths group,q607272,0.00139613568479184
lion dor,lion dor,0.00138042065979501
august storck kg,q566814,0.00135477653391475
"abant su, abant su","abant su, abant su",0.00133868808567604
"banyak brand, banyak brand","banyak brand, banyak brand",0.00133868808567604
"brand lokal kelimutu, brand lokal kelimutu","brand lokal kelimutu, brand lokal kelimutu",0.00133868808567604
"kasugaiseika, kasugaiseika","kasugaiseika, kasugaiseika",0.00133868808567604
"la sabrasita, la sabrasita","la sabrasita, la sabrasita",0.00133868808567604
plastics,plastics,0.00133868808567604
"pure water, inc.","pure water, inc.",0.00133381026623593
summer ro,https://acewater.my/summer-ro-drinking-water/,0.00133348126185899
kerala co-operative milk marketing federation,q3532857,0.00132620221605602
china resources,q1073501,0.00132113912892759
"frasassi, frasassi","frasassi, frasassi",0.00127463030522637
l’arche green,q28861110,0.00127322576477436
cerberus capital management,q289362,0.00126520376569955
"san miguel corporation, san miguel food and beverage, inc.",q934489q18636682,0.00125704891157769
marwa,q3296092,0.0012527142726434
spritzer,q85514136,0.00124320460559419
"cam 2 oil, cam 2 oil","cam 2 oil, cam 2 oil",0.00124306750812775
"grandmalt, grandmalt","grandmalt, grandmalt",0.00124306750812775
partex group,q7140201,0.0012398653224192
mai dubai,mai dubai,0.00122713074520303
"valprie, valprie","valprie, valprie",0.00122713074520303
castel group,q3117357,0.00121561821048201
